학원명,학원주소,설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,강사수
예맥보습학원,서울특별시 중랑구 동일로151길 30  2층3층 (묵동),조소정,02-974-6751,보습,고등(수학),3,1개월 0일,"1,260","250,000",0,0,0,0,0,0,0,"250,000",2
세진보습학원,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),이슬기,02-978-8383,보습,초등단과(수학),10,1개월 0일,"1,050","150,000",0,0,0,0,0,0,0,"150,000",5
세진보습학원,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),이슬기,02-978-8383,보습,중등단과(수학),10,1개월 0일,"1,050","170,000",0,0,0,0,0,0,0,"170,000",5
세진보습학원,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),이슬기,02-978-8383,보습,"초등(영어,수학)",10,1개월 0일,"1,890","300,000",0,0,0,0,0,0,0,"300,000",5
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,초등수학,12,1개월 0일,"1,512","220,000",0,0,0,0,0,0,0,"220,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,초등수학,12,1개월 0일,"1,512","220,000",0,0,0,0,0,0,0,"220,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,중등수학,12,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,중등수학,12,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,고등수학,12,1개월 0일,"1,512","280,000",0,0,0,0,0,0,0,"280,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,고등수학,12,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,"초등연합(수학,영어)",12,1개월 0일,"3,024","410,000",0,0,0,0,0,0,0,"410,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,"초등연합(수학,영어)",12,1개월 0일,"3,024","410,000",0,0,0,0,0,0,0,"410,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,"중등연합(수학,영어)",12,1개월 0일,"3,024","440,000",0,0,0,0,0,0,0,"440,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,"중등연합(수학,영어)",12,1개월 0일,"3,024","440,000",0,0,0,0,0,0,0,"440,000",9
대찬학원,"서울특별시 동대문구 전농로 120 , 3층 (전농동)",(주)미래인재교육,02-2215-2468,보습,"고등연합(수학,영어)",12,1개월 0일,"2,520","480,000",0,0,0,0,0,0,0,"480,000",9
장안로드맵수학학원,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",이기영,02-2245-7004,보습,초등수학,14,1개월 0일,"1,512","200,000",0,0,0,0,0,0,0,"200,000",4
장안로드맵수학학원,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",이기영,02-2245-7004,보습,중등수학,14,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",4
장안로드맵수학학원,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",이기영,02-2245-7004,보습,고등수학,14,1개월 0일,"1,449","280,000",0,0,0,0,0,0,0,"280,000",4
장안로드맵수학학원,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",이기영,02-2245-7004,보습,고등수학특강,14,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",4
수학엠플러스학원,서울특별시 동대문구 한천로 165  3층 (답십리동),손해숙,02-2244-2577,보습,"초등단과(수학,영어)",44,1개월 0일,"1,260","120,000",0,0,0,0,0,0,0,"120,000",4
